,Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
1365,Plum Goodness,Unknown,Thane,Beauty & Fashion,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,Unknown,Unknown,1300000.0,Series A,2018
1366,Drstore,Unknown,Mumbai,Hospitality,Drstore is a exclusive e- commerce platform.,Unknown,Unknown,1300000.0,Pre-series A,2018
1367,Wow Venue,Unknown,Mumbai,Hospitality,Wow Venue is an online platform.,Unknown,Unknown,1500000.0,Unknown,2018
1368,Chizel,Unknown,Pune,LifeStyle,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,Unknown,Unknown,1300000.0,Pre-series A,2018
1369,OTO Capital,Unknown,Mumbai,Transport,OTO Capital is a platform that allows you to own a car faster than ever.,Unknown,Unknown,724637.6811594203,Pre-series A,2018
1370,Boodmo,Unknown,Gurgaon,Transport,boodmo.com - large online marketplace for auto parts in India.,Unknown,Unknown,1014492.7536231885,Pre-series A,2018
1371,Khabri,Unknown,Haryana,Media & Entertainment,Khabri is a digital audio platform for content in vernacular.,Unknown,Unknown,1300000.0,Pre-series A,2018
1372,MyNewCar.in,Unknown,Gurgaon,Transport,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,Unknown,Unknown,1000000.0,Unknown,2018
1373,HalaPlay Technologies,Unknown,Bangalore,Sports,A daily fantasy sports platform.,Unknown,Unknown,5000000.0,Series A,2018
1374,PlanetSpark,Unknown,Gurgaon,Education,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,Unknown,Unknown,231884.0579710145,Pre-series A,2018
